puzzle,solution
.....c.g.a...gid...ce..hb...f.ac.g.....i..ahfbg.h.fci.c...h..e..hb.iaf...d..e...g,hidbfcegaabfegidchgcedahbfiifhacegbddecibgahfbgahdfciecagfhdiebehbgiafdcfdicebhag
....c.g.hdb......f.hgf.a..c....g..cb....fbi.....d.c.hagc.....a..iec..b.dhadgbi...,efabcdgihdbcihgaefihgfeadbcadihgefcbcehafbidgbgfdicehagcbedfhaifiecahbgdhadgbicfe
c..f...e...........e..a.bd.b...f...h..eadbi.ggc..h.dbfa..d....b.bchi..f..df.c.ah.,cabfgdheidhicbefgafegiahbdcbidgfceahhfeadbicggcaehidbfaghdefcibebchiagfdidfbcgahe
.g....i.bbif......h.difb.e.fc.d.aehi...e.hf..e...i...d....bghie..h.....gae...i...,cgehadifbbifgecdahhadifbgecfcbdgaehigdiechfbaehabifcgddfcabghieibhfdeacgaegchibdf
dfec........b..h..hb..f...i.....cgia.e.ia...hi...h.fe..gc.bd..f.dhe...a.a...gf..d,dfecihagbgcibdahfehbagfecdibhdfecgiacefiagdbhiagdhbfecegcabdihffdhecibagaibhgfecd
.bca.....h.....e...fae....h.h.c...g.f..hdeab.d.b.g..ie..i.........g.ich.ce.b.fgdi,ebcahdifghgdifceabifaebgdchahecibfgdfighdeabcdcbfgahiegaidchbefbdfgeichacehbafgdi
.ciefbg..ge....ib.bfh..ae.d...h.....f.c.beahi....i.bg..bf..........c..fachg......,dciefbgahgeacdhibfbfhigaecdigbhacfdefdcgbeahihaefidbgcabfdhicegeidbcghfachgaefdib
..c.......g..bf.....f.d.eah...ehic.a.hdfc.b..c....d...gc.........eia....daigfcheb,adchiefbgeghabfdicbifcdgeahfbgehicdaihdfcabgeceabgdihfgcbdehafihfeiabgcddaigfcheb
.gdh.ibf......dcg.f.h....dad.......f..e...ah.g..ah..bdhd......g...dg.ha.a.g.chd..,cgdhaibfeeaibfdcghfbhcegidadhaeibgcfbcegdfahigifahcebdhdcibafegifbdgehacaegfchdib
gfc.bd.a....g....i.hb.fa..c..f.........def.ib..i.....d.i.a.gdbf.gd.ib..hfba......,gfcibdhaeadeghcbfiihbefagdcdcfbgiehahagdefcibbeicahfgdeihacgdbfcgdfibaehfbahdeicg
a....ge..cfgdbe.hi..e.f...g......ie.......d.h.d...ibcf...e...bd.e.g.d.i..cfbih...,aidchgefbcfgdbeahibheifacdgfgchdbieaibafecdghedhagibcfgaiecfhbdhebgadficdcfbihgae
..h.e...g..c.d.ae..dg.h.fbcce.hid.ga..b..f.c.ga...c.....db..g........cief..g.i...,afhcebidgibcfdgaehedgihafbccefhidbgadhbagfecigaiebchfdhidbcegafbgadfhciefcegaidhb
.ga..cf.h.....f.iafdb..ig..a...c.ed.e..d.h.a..c...gb.f.ed.b...c...gh..f......dhe.,igaedcfbhchebgfdiafdbhaigceafhicbedgebgdfhcaidciaegbhfhedfbaigcbicgheafdgafcidheb
..i.fb..h..e........c.e..ab.b...a....f...i.g.e..d..a....fgh.bc...a...dfgcgbfadihe,gaicfbedhbheadgciffdciehgabibghcafedafdebihgcechdgfabidifghebcaheabicdfgcgbfadihe
eg......bh....g.f..ab.c..g..c..db.i....g..e..ihf...g.....c.f...cf.e.a.diabgih.ce.,egdfihacbhicbagdfefabdceighgcehdbfiabdagfiehcihfaecgbddeicbfhagcfhegabdiabgihdcef
dih...a..a...c.......d...h.ca.ibh.ed...g..ic.gh..d....fc..hi...i......g..bdaegcif,dihfgeabcagehcbfdibfcdiaehgcafibhgededbgafichghiedcbfafcgbhidaeieacfdhgbhbdaegcif
.if.be......c....eb.e.gd....hc..b.e.igaef.c.b..d..iah....h.abf.gd.....ia.f......d,hifabedgcdagchfibebceigdfahfhcdabgeiigaefhcdbebdgciahfceihdabfggdbfechiaafhbigecd
.....eg.hhb..gadfcd.a..h..i..g..bc.e..f.i..bdbh..a.....c....e.a.d.g....b...a.d.ig,ficdbegahhbeigadfcdgacfhbeiiagfdbchecefhigabdbhdeacigfgcibhfedaadhgeifcbefbacdhig
.b.gahd...ad.ic....eh.b..a..ca..eg...d.......f.ia...c.dhgcf...iei...df...f....c.d,ibfgahdecgadeicbfhcehdbfiagbcaihegdfhdefcgaibfgiadbhcedhgcfaebieicbgdfhaafbheicgd
.c..fe...d..h..c..fhi..c.....a..d...ed...fhag..hg............bii..c.gah.h.fdibgec,acgbfeidhdebhgicfafhiadcbgegiaehdfcbedcibfhagbfhgcaeidcgefahdbiibdcegahfhafdibgec
...hbci..c..ea..h..hd.f.....cb.de.fh.if..ad.ee...h.c..d.h..b..g...dc.h.b.b.f.....,faehbcigdcgieadbhfbhdgfieacacbidegfhhifcgadbeedgbhfciadehaibfcgifadcghebgbcfehadi
..d.f..e....c.abfi...ig.d.hedi.......ga.c.fd..b.g.....df.aic.ge.cgd......h.....ad,cidhfbaeggehcdabfibafigedchedibafghchgaecifdbfbcghdeiadfbaichgeacgdehibfihefbgcad
.ha.g..d...i.a.gf..d.b...aee......cbd.b.....a.ahd.f.e.i.e.cha.............dgiecbh,fhaegcbdibeihadgfcgdcbfihaeegfihadcbdibcegfhacahdbfiegibefchagdhcgadbeifafdgiecbh
a..f..e.ge...cid.b..b.g...a.id..e.g.....f.ide.g.b.d....e..b..adha.defg..d.c......,achfdbeigefgacidhbidbeghcfacidhaebgfbhacfgidefgebidachgefibchadhaidefgbcdbcghafei
..ie..d..ad.h.b..i.e..d..ghh.....fa..i..ah.ecef.....i.dg..bfa..i.e..gb.f.......hg,ghiefcdbaadchgbefifebadicghhcgbiefadbidfahgecefagcdhibdghibfaceiaechgbdfcbfdeaihg
gaid.b..h.h...c.i.f.d.h.e......df.ba...b..fd....ca.i.......d.h.a.bhc.gef.eh..a...,gaidebcfhbheafcdigfcdihgeabeicgdfhbahgabiefdcdbfcahigecfgebdahiadbhcigefiehfgabcd
if.....ba.c...idgfg.......hhdfbe..ci..a..h...b..d....e..gche...a..f..h.....g.bidc,ifdhcgebaechabidgfgabedfcihhdfbeagciceaighbfdbgidfcahedigchefababcfidhegfhegabidc
ec..h....adie...hcf.hi...e.dgf..b.c........d....hcdfgah...begf...cf...b.bf.......,ecgbhadifadiefgbhcfbhidcaegdgfaibhcechagefidbiebhcdfgahadcbegfigicfahebdbfedgicah
.ibca.....h...dg..fd..igbe...g...fch.....ha.eb.h...ig..ea.gb.h.h..e..cfb.b.......,gibcaehdfahebfdgicfdchigbeaeagdbifchifdgchabebchaefigdceafgbdhihgiedacfbdbfihceag
aibh...ge.eg.a.ih.dc.g.ia..h..ac.gf.i.a...c...f...h...b..c.a...........b.dfe...ca,aibhfcdgefegbadihcdchgeiabfhbdacegfiigadbfcehefcighbadbhecdafigcaifhgedbgdfeibhca
c...i.d...h.f.b.e.g..d.ahf..b...h.i.h....dbced.fb.i.a...e....ha...e...bf..c.h.e.g,cfahiedgbihdfgbaecgebdcahfiebgcahfidhaigfdbcedcfbeigahfdeibgchaaghedcibfbicahfedg
dce...ihg.ab.hi.dch...c..a...a..h..dgd.if..bh.e..d..i..hi.efdgaa.................,dcefabihgfabghiedchigecdfabifacbhgedgdcifeabhbehadgcifchibefdgaagdhicbfeebfdgahci
..f..bac......db...bc..hef..ia.dc.ehfe..hg....h...a....f...ehgc.chb...d.......iba,hdfgebacieaicfdbhggbcaihefdbiafdcgehfedihgcabchgebadififbdaehgcachbgifdedgehcfiba
